toad.id,sex,age,task.type,reward.position,choice,latency,trial,lt,learnt
MW15,1,A,reversal,L,1,35,1,1,1
MW15,1,A,reversal,L,0,35,2,1,1
MW15,1,A,reversal,L,0,77,3,1,1
MW15,1,A,reversal,L,0,60,4,1,1
MW15,1,A,reversal,L,0,32,5,1,1
MW15,1,A,reversal,L,0,30,6,1,1
MW15,1,A,reversal,L,0,110,7,1,1
MW15,1,A,reversal,L,0,27,8,1,1
MW15,1,A,reversal,L,1,39,9,1,1
MW15,1,A,reversal,L,0,44,10,1,1
MW15,1,A,reversal,L,0,95,11,1,1
MW15,1,A,reversal,L,0,30,12,1,1
MW15,1,A,reversal,L,0,25,13,1,1
MW15,1,A,reversal,L,1,97,14,1,1
MW15,1,A,reversal,L,0,41,15,1,1
MW15,1,A,reversal,L,0,49,16,1,1
MW15,1,A,reversal,L,1,280,17,1,1
MW15,1,A,reversal,L,1,276,18,1,1
MW15,1,A,reversal,L,1,207,19,1,1
MW15,1,A,reversal,L,1,377,20,1,1
MW15,1,A,reversal,L,1,177,21,1,1
MW15,1,A,reversal,L,0,380,22,1,1
MW15,1,A,reversal,L,1,136,23,1,1
MW15,1,A,reversal,L,1,216,24,1,1
MW16,1,A,reversal,L,0,395,1,1,1
MW16,1,A,reversal,L,0,261,2,1,1
MW16,1,A,reversal,L,0,235,3,1,1
MW16,1,A,reversal,L,0,385,4,1,1
MW16,1,A,reversal,L,0,212,5,1,1
MW16,1,A,reversal,L,1,125,6,1,1
MW16,1,A,reversal,L,1,98,7,1,1
MW16,1,A,reversal,L,1,300,8,1,1
MW16,1,A,reversal,L,1,94,9,1,1
MW16,1,A,reversal,L,1,210,10,1,1
MW16,1,A,reversal,L,1,196,11,1,1
MW16,1,A,reversal,L,1,307,12,1,1
MW17,0,A,reversal,R,0,300,1,1,1
MW17,0,A,reversal,R,1,240,2,1,1
MW17,0,A,reversal,R,0,120,3,1,1
MW17,0,A,reversal,R,1,367,4,1,1
MW17,0,A,reversal,R,1,115,5,1,1
MW17,0,A,reversal,R,1,93,6,1,1
MW17,0,A,reversal,R,1,81,7,1,1
MW17,0,A,reversal,R,0,186,8,1,1
MW17,0,A,reversal,R,1,110,9,1,1
MW17,0,A,reversal,R,1,156,10,1,1
MW18,0,A,reversal,R,0,148,1,1,1
MW18,0,A,reversal,R,0,97,2,1,1
MW18,0,A,reversal,R,1,224,3,1,1
MW18,0,A,reversal,R,0,396,4,1,1
MW18,0,A,reversal,R,1,246,5,1,1
MW18,0,A,reversal,R,1,180,6,1,1
MW18,0,A,reversal,R,1,120,7,1,1
MW18,0,A,reversal,R,1,330,8,1,1
MW18,0,A,reversal,R,1,165,9,1,1
MW18,0,A,reversal,R,1,243,10,1,1
MW19,0,A,reversal,L,0,NA,1,1,1
MW19,0,A,reversal,L,0,327,2,1,1
MW19,0,A,reversal,L,1,230,3,1,1
MW19,0,A,reversal,L,0,400,4,1,1
MW19,0,A,reversal,L,0,247,5,1,1
MW19,0,A,reversal,L,1,45,6,1,1
MW19,0,A,reversal,L,0,153,7,1,1
MW19,0,A,reversal,L,0,162,8,1,1
MW19,0,A,reversal,L,1,382,9,1,1
MW19,0,A,reversal,L,1,260,10,1,1
MW19,0,A,reversal,L,1,84,11,1,1
MW19,0,A,reversal,L,1,87,12,1,1
MW19,0,A,reversal,L,1,150,13,1,1
MW19,0,A,reversal,L,1,400,14,1,1
MW20,0,A,reversal,L,1,190,1,1,1
MW20,0,A,reversal,L,0,393,2,1,1
MW20,0,A,reversal,L,0,223,3,1,1
MW20,0,A,reversal,L,0,205,4,1,1
MW20,0,A,reversal,L,0,133,5,1,1
MW20,0,A,reversal,L,1,224,6,1,1
MW20,0,A,reversal,L,0,103,7,1,1
MW20,0,A,reversal,L,1,274,8,1,1
MW20,0,A,reversal,L,0,93,9,1,1
MW20,0,A,reversal,L,1,182,10,1,1
MW20,0,A,reversal,L,1,196,11,1,1
MW20,0,A,reversal,L,1,183,12,1,1
MW20,0,A,reversal,L,1,90,13,1,1
MW20,0,A,reversal,L,1,67,14,1,1
