"toad.id","age","task.type","reward.position","choice","latency","trial","lt","learnt","log.latency"
"MW16","1","reversal","L","0",385,4,1,"1",5.95324333428778
"MW16","1","reversal","L","0",212,5,1,"1",5.35658627467201
"MW16","1","reversal","L","1",125,6,1,"1",4.8283137373023
"MW16","1","reversal","L","1",98,7,1,"1",4.58496747867057
"MW16","1","reversal","L","1",300,8,1,"1",5.7037824746562
"MW16","1","reversal","L","1",94,9,1,"1",4.54329478227
"MW16","1","reversal","L","1",210,10,1,"1",5.34710753071747
"MW16","1","reversal","L","1",196,11,1,"1",5.27811465923052
"MW16","1","reversal","L","1",307,12,1,"1",5.7268477475872
"MW17","1","reversal","R","0",300,1,1,"1",5.7037824746562
"MW17","1","reversal","R","1",240,2,1,"1",5.48063892334199
"MW17","1","reversal","R","0",120,3,1,"1",4.78749174278205
"MW17","1","reversal","R","1",367,4,1,"1",5.90536184805457
"MW17","1","reversal","R","1",115,5,1,"1",4.74493212836325
"MW17","1","reversal","R","1",93,6,1,"1",4.53259949315326
"MW17","1","reversal","R","1",81,7,1,"1",4.39444915467244
"MW17","1","reversal","R","0",186,8,1,"1",5.2257466737132
"MW17","1","reversal","R","1",110,9,1,"1",4.70048036579242
"MW17","1","reversal","R","1",156,10,1,"1",5.04985600724954
"MW18","1","reversal","R","0",148,1,1,"1",4.99721227376411
"MW18","1","reversal","R","0",97,2,1,"1",4.57471097850338
"MW18","1","reversal","R","1",224,3,1,"1",5.41164605185504
"MW18","1","reversal","R","0",396,4,1,"1",5.98141421125448
"MW18","1","reversal","R","1",246,5,1,"1",5.50533153593236
"MW18","1","reversal","R","1",180,6,1,"1",5.19295685089021
"MW18","1","reversal","R","1",120,7,1,"1",4.78749174278205
"MW18","1","reversal","R","1",330,8,1,"1",5.79909265446053
"MW18","1","reversal","R","1",165,9,1,"1",5.10594547390058
"MW18","1","reversal","R","1",243,10,1,"1",5.49306144334055
"MW19","1","reversal","L","0",NA,1,1,"1",NA
"MW19","1","reversal","L","0",327,2,1,"1",5.78996017089725
"MW19","1","reversal","L","1",230,3,1,"1",5.4380793089232
